c_number,name,formula,exact_mass,mol_weight,pathway,reaction,enzyme,description
C00607,Chondroitin sulfate,(C14H18NO11R3)n,,,map03264  Virion - Flavivirus and Alphavirus,,,
C00608,Deoxyribonucleotide,C5H10O6PR,,,,,,
C00609,Long-chain aldehyde,C3H5OR,,,"map00073  Cutin, suberine and wax biosynthesis",R00041 R02039 R02620 R09466 R09484 R09485 R10549 R10551,1.1.3.20        1.2.1.48        1.2.1.50        1.2.1.80,
C00611,N-Acetyllactosamine;,C14H25NO11,383.1428,383.35,,R01205 R04531 R04532,2.4.1.87        2.4.1.90        2.4.3.1,
C00612,N1-Acetylspermidine,C9H21N3O,187.1685,187.28,,R09074,1.5.3.13        1.5.3.17,
C00613,Protein-L-arginine;,C7H13N5O2R2,,,,R00167 R00555 R02621 R07626 R11090 R11095 R11216 R11219,1.14.11.73      2.1.1.319       2.1.1.320       2.1.1.321,
C00614,Protein glutamate;,C6H8N2O4R2,,,,R02622 R02623 R02624,2.1.1.80        3.1.1.61        3.5.1.44,
C00615,Protein histidine;,C7H8N4O2R2,,,,R00811 R01516 R02625 R02626 R02627 R02628 R02630 R02631,1.14.11.79      2.1.1.85        2.7.1.191       2.7.1.192,
C00616,Quercetin 3-sulfate,C15H10O10S,381.9995,382.30,map00944  Flavone and flavonol biosynthesis,R02159 R02632 R02633,2.8.2.25        2.8.2.26        2.8.2.27,
C00617,UDP-D-galacturonate;,C15H22N2O18P2,580.0343,580.28,map00053  Ascorbate and aldarate metabolism,R00501 R01385 R02634 R02636 R04343 R05191,1.1.1.-         2.4.1.43        2.7.7.-         4.1.1.67,
C00618,3-Dehydro-L-gulonate,C6H10O7,194.0427,194.14,map00040  Pentose and glucuronate interconversions,R01905 R02637 R02639 R02640 R07127,1.1.1.45        1.1.1.130       2.7.1.53        4.1.1.34,
C00619,3-Oxo-Delta4-steroid,C19H28O,272.2140,272.42,,R02642 R02643 R02644 R13168 R13214,1.3.1.3         1.3.1.22        1.3.99.5        1.3.99.6,
C00620,alpha-D-Ribose 1-phosphate;,C5H11O8P,230.0192,230.11,map00030  Pentose phosphate pathway,R01057 R01561 R01863 R01876 R01885 R02147 R02294 R02295,2.4.2.1         2.4.2.2         2.4.2.3         2.4.2.15,
C00621,Dolichyl diphosphate;,C20H38O7P2(C5H8)n,,,map00510  N-Glycan biosynthesis,R01004 R02186 R04216 R05976,2.4.99.18       2.7.4.20        3.6.1.43,
C00623,sn-Glycerol 1-phosphate;,C3H9O6P,172.0137,172.07,map00564  Glycerophospholipid metabolism,R01044 R04158 R05679 R05680 R07298 R12699 R13006,1.1.1.261       2.5.1.41        2.5.1.155       2.5.1.-,
C00624,N-Acetyl-L-glutamate;,C7H11NO5,189.0637,189.17,map00220  Arginine biosynthesis,R00259 R02282 R02649 R13097 R13098,2.3.1.1         2.3.1.35        2.7.2.8         5.1.1.25,
C00625,N-Acyl-D-mannosamine,C7H12NO6R,,,,R02650 R02651 R02652,1.1.1.233       2.7.1.60        5.1.3.8,
C00627,Pyridoxine phosphate;,C8H12NO6P,249.0402,249.16,map00750  Vitamin B6 metabolism,R00278 R01909 R01911 R05838,1.4.3.5         2.6.99.2        2.7.1.35        3.1.3.74,
C00628,"2,5-Dihydroxybenzoate;",C7H6O4,154.0266,154.12,map00350  Tyrosine metabolism,R02489 R02589 R02655 R02656 R02657 R07686 R07709 R07710,1.2.1.29        1.2.3.1         1.13.11.4       1.14.13.24,
C00630,2-Methylpropanoyl-CoA;,C25H42N7O17P3S,837.1571,837.63,"map00280  Valine, leucine and isoleucine degradation",R01181 R01210 R02661 R02662 R02663 R06482 R06483 R07160,1.2.1.25        1.2.7.7         1.3.8.1         1.3.8.5,
C00631,2-Phospho-D-glycerate;,C3H7O7P,185.9929,186.06,map00010  Glycolysis / Gluconeogenesis,R00658 R01518 R01748 R02664 R08572 R09532,2.7.1.165       2.7.2.16        3.1.3.20        3.1.3.80,
C00632,3-Hydroxyanthranilate;,C7H7NO3,153.0426,153.14,map00380  Tryptophan metabolism,R02665 R02666 R02667 R02668 R02669 R02670 R02671 R07730,1.10.3.5        1.11.1.6        1.11.1.21       1.13.11.6,
C00633,4-Hydroxybenzaldehyde;,C7H6O2,122.0368,122.12,map00363  Bisphenol degradation,R01293 R01294 R01303 R02672 R02673 R02675 R02676 R06886,1.1.3.19        1.2.1.7         1.2.1.28        1.2.1.64,
C00634,Chondroitin 4-sulfate;,(C14H21NO14S)n,,,map00531  Glycosaminoglycan degradation,R02180 R10869 R10870,2.8.2.5         2.8.2.33        4.2.2.5         4.2.2.20,
C00635,Chondroitin 6-sulfate;,(C14H21NO14S)n,,,,R02181 R10872,2.8.2.17        4.2.2.5         4.2.2.20        4.2.2.21,
C00636,D-Mannose 1-phosphate;,C6H13O9P,260.0297,260.14,map00051  Fructose and mannose metabolism,R00881 R00883 R00885 R01818 R02677 R07678 R09943 R10811,2.4.1.281       2.4.1.319       2.4.1.320       2.4.1.339,
C00637,Indole-3-acetaldehyde;,C10H9NO,159.0684,159.18,map00380  Tryptophan metabolism,R01974 R02173 R02678 R02679 R02680 R02681 R08606,1.1.1.190       1.1.1.191       1.2.1.3         1.2.3.7,
C00638,Long-chain fatty acid;,C3H5O2R,,,map00061  Fatty acid biosynthesis,R00390 R01406 R01407 R02682 R05188 R09450 R10551 R11915,1.14.14.3       1.14.14.80      2.3.1.85        3.1.1.67,
C00639,Prostaglandin F2alpha;,C20H34O5,354.2406,354.48,map00590  Arachidonic acid metabolism,R02264 R02581 R02683 R02684 R09506,1.1.1.141       1.1.1.184       1.1.1.188       1.1.1.189,
C00640,(3S)-3-Hydroxyacyl-CoA;,C24H39N7O18P3SR,,,map00062  Fatty acid elongation,R01778 R02685 R07314,1.1.1.35        1.1.1.211       4.2.1.17        4.2.1.74,
C00641,"1,2-Diacyl-sn-glycerol;",C5H6O5R2,,,map00552  Teichoic acid biosynthesis,R01312 R01321 R02027 R02052 R02057 R02239 R02240 R02250,2.3.1.20        2.3.1.22        2.3.1.73        2.3.1.158,
C00642,4-Hydroxyphenylacetate;,C8H8O3,152.0473,152.15,map00350  Tyrosine metabolism,R00042 R02514 R02516 R02695 R02697 R02698 R02699 R06790,1.2.1.5         1.2.1.29        1.2.1.39        1.2.1.53,
C00643,5-Hydroxy-L-tryptophan;,C11H12N2O3,220.0848,220.22,map00380  Tryptophan metabolism,R01814 R02700 R02701 R02702 R07213 R12542,1.13.11.52      1.14.16.4       2.6.1.27        4.1.1.28,
C00644,D-Mannitol 1-phosphate,C6H15O9P,262.0454,262.15,map00051  Fructose and mannose metabolism,R00758 R01817 R02167 R02703 R02704,1.1.1.17        1.1.1.224       2.7.1.197       3.1.3.22,
C00645,N-Acetyl-D-mannosamine;,C8H15NO6,221.0899,221.21,map00520  Amino sugar and nucleotide sugar metabolism,R00414 R01207 R01804 R01811 R02705 R02706 R02707 R12768,2.5.1.56        2.7.1.60        3.1.3.-         3.2.1.183,
C00647,Pyridoxamine phosphate;,C8H13N2O5P,248.0562,248.17,map00750  Vitamin B6 metabolism,R00277 R01147 R01580 R02493 R02494,1.4.3.5         2.6.1.54        2.7.1.35        3.1.3.74,
C00650,4-Hydroxymandelonitrile,C8H7NO2,149.0477,149.15,,R02709,2.4.1.178,
C00651,4-Methylene-L-glutamate,C6H9NO4,159.0532,159.14,map00660  C5-Branched dibasic acid metabolism,R02711 R02712 R02713,3.5.1.67        6.3.1.7,
C00652,"D-Arabinono-1,4-lactone",C5H8O5,148.0372,148.11,map00053  Ascorbate and aldarate metabolism,R01574 R01575 R02714 R02715,1.1.1.116       1.1.1.117       1.1.1.427       1.1.3.37,
C00653,Poly(ribitol phosphate);,(C5H11O7P)n,,,,R02716 R02717 R02718,2.4.1.53        2.4.1.70        6.1.1.13,
C00655,Xanthosine 5'-phosphate;,C10H13N4O9P,364.0420,364.21,map00230  Purine metabolism,R01130 R01230 R01231 R02142 R02719 R02720 R02805,1.1.1.205       2.4.2.8         2.4.2.22        3.1.3.5,
C00658,"trans-2,3-Dehydroacyl-CoA;",C24H37N7O17P3SR,,,map00062  Fatty acid elongation,R00384 R00388 R02685 R04319 R07162 R09449 R09698 R12620,1.3.1.34        1.3.1.38        1.3.1.44        1.3.1.93,
C00659,2-Aceto-2-hydroxybutanoate,C6H10O4,146.0579,146.14,,,,
C00661,Glyceraldehyde 3-phosphate,C3H7O6P,169.9980,170.06,,,,
C00662,Reduced adrenal ferredoxin;,,,,,R01454 R02723 R02724 R02725 R02726 R03262 R03263 R03507,1.14.15.4       1.14.15.5       1.14.15.6       1.14.15.15,
C00663,beta-D-Glucose 1-phosphate,C6H13O9P,260.0297,260.14,map00500  Starch and sucrose metabolism,R01555 R02727 R02728 R05767 R06040 R06044 R06053 R07264,2.4.1.8         2.4.1.64        2.4.1.216       2.4.1.230,
C00664,5-Formiminotetrahydrofolate;,C20H24N8O6,472.1819,472.45,map00670  One carbon pool by folate,R02287 R02302 R02729,2.1.2.4         2.1.2.5         4.3.1.4,
C00665,"beta-D-Fructose 2,6-bisphosphate;",C6H14O12P2,339.9961,340.12,map00051  Fructose and mannose metabolism,R00763 R02730 R02731 R02732 R13202,2.7.1.105       3.1.3.46        3.1.3.54,
C00666,"LL-2,6-Diaminoheptanedioate;",C7H14N2O4,190.0954,190.20,map00300  Lysine biosynthesis,R02733 R02734 R02735 R07613,2.6.1.83        3.5.1.18        3.5.1.47        5.1.1.7,
C00667,Oxidized adrenal ferredoxin;,,,,,R01454 R02723 R02724 R02725 R02726 R03262 R03263 R03507,1.14.15.4       1.14.15.5       1.14.15.6       1.14.15.15,
C00668,alpha-D-Glucose 6-phosphate,C6H13O9P,260.0297,260.14,map00010  Glycolysis / Gluconeogenesis,R00959 R01786 R01788 R02189 R02737 R02738 R02739 R02740,2.4.1.15        2.7.1.1         2.7.1.2         2.7.1.63,
C00669,gamma-L-Glutamyl-L-cysteine;,C8H14N2O5S,250.0623,250.27,map00480  Glutathione metabolism,R00497 R00894 R02741 R02742 R02743 R11013,1.8.1.13        1.14.99.50      4.3.2.9         6.3.2.2,
C00670,sn-Glycero-3-phosphocholine;,C8H21NO6P,258.1106,258.23,map00564  Glycerophospholipid metabolism,R01030 R01309 R02591 R02744 R02745 R02746 R02747 R07291,3.1.1.5         3.1.4.2         3.1.4.38        3.1.4.46,
C00671,(S)-3-Methyl-2-oxopentanoic acid;,C6H10O3,130.0630,130.14,"map00280  Valine, leucine and isoleucine degradation",R02196 R02197 R02199 R02200 R03171 R03894 R04225 R05070,1.2.1.25        1.2.4.4         1.2.7.7         1.4.1.9,
C00672,2-Deoxy-D-ribose 1-phosphate;,C5H11O7P,214.0242,214.11,map00030  Pentose phosphate pathway,R01570 R01969 R02484 R02557 R02748 R02749 R08230 R10244,2.4.2.1         2.4.2.2         2.4.2.3         2.4.2.4,
C00673,2-Deoxy-D-ribose 5-phosphate,C5H11O7P,214.0242,214.11,map00030  Pentose phosphate pathway,R01066 R02749 R02750,2.7.1.15        2.7.1.229       4.1.2.4         5.4.2.7,
C00674,"5alpha-Androstane-3,17-dione;",C19H28O2,288.2089,288.42,map00140  Steroid hormone biosynthesis,R01834 R02476 R02477 R09956 R10242 R13220 R13221,1.1.1.50        1.1.1.51        1.1.1.64        1.1.1.209,
C00675,Deoxynucleoside 3'-phosphate;,C5H10O6PR,,,,R02751,3.1.3.34,
C00676,Deoxynucleoside 5'-phosphate;,C5H10O6PR,,,,R02934 R04267 R05304 R05806 R07341 R10776,2.7.1.77        2.7.1.145       2.7.4.13        3.1.3.89,
C00677,Deoxynucleoside triphosphate;,C5H12O12P3R,,,,R00379 R04315 R11592,1.1.98.6        1.17.4.2        2.7.7.7         2.7.7.31,
C00679,5-Dehydro-4-deoxy-D-glucarate;,C6H8O7,192.0270,192.12,map00053  Ascorbate and aldarate metabolism,R02279 R02752 R02754 R05608 R10847 R11075 R11083,4.1.2.20        4.2.1.40        4.2.1.41        4.2.1.42,
C00680,"meso-2,6-Diaminoheptanedioate;",C7H14N2O4,190.0954,190.20,map00300  Lysine biosynthesis,R00451 R02735 R02755 R02788,1.4.1.16        4.1.1.20        5.1.1.7         6.3.2.13,
C00681,1-Acyl-sn-glycerol 3-phosphate;,C4H8O7PR,,,map00561  Glycerolipid metabolism,R00851 R02241 R02617 R02756 R02757 R02760 R09380 R09381,1.1.1.101       2.3.1.15        2.3.1.51        2.3.1.275,
C00682,2-Hydroxymuconate semialdehyde;,C6H6O4,142.0266,142.11,map00361  Chlorocyclohexane and chlorobenzene degradation,R00816 R02604 R02762 R02763 R05504,1.2.1.85        1.13.11.2       1.97.1.-        3.7.1.9,
C00683,(S)-Methylmalonyl-CoA;,C25H40N7O19P3S,867.1313,867.61,"map00280  Valine, leucine and isoleucine degradation",R00918 R00923 R00930 R01859 R02764 R02765 R06458 R06459,2.1.3.1         2.3.1.94        2.3.1.239       2.3.1.240,
C00684,2-Dehydro-3-deoxy-L-arabinonate;,C5H8O5,148.0372,148.11,map00053  Ascorbate and aldarate metabolism,R01784 R02278 R02522 R12761,4.1.2.18        4.2.1.25        4.2.1.43        4.2.1.176,
C00685,3-Oxoacyl-[acyl-carrier protein],C3H2O2SR2,,,map00061  Fatty acid biosynthesis,R02766 R02767 R02768 R13237 R13418,1.1.1.100       1.1.1.212       1.1.1.-         2.3.1.41,
C00686,N-Acyl-D-mannosamine 6-phosphate,C7H13NO9PR,,,,R02650 R02769 R02770,2.5.1.57        2.7.1.60        5.1.3.9,
C00688,dTDP-4-dehydro-beta-L-rhamnose;,C16H24N2O15P2,546.0652,546.31,map00521  Streptomycin biosynthesis,R02776 R02777 R06445 R06514 R10190,1.1.1.133       1.1.1.134       1.1.1.339       1.1.1.344,
C00689,"alpha,alpha'-Trehalose 6-phosphate;",C12H23O14P,422.0825,422.28,map00500  Starch and sucrose metabolism,R00836 R00837 R02168 R02737 R02778 R02780 R05767 R11783,2.4.1.15        2.4.1.36        2.4.1.216       2.4.1.347,
C00691,"2,4,6/3,5-Pentahydroxycyclohexanone;",C6H10O6,178.0477,178.14,map00521  Streptomycin biosynthesis,R01183 R02781 R02782 R05659 R09952 R09953 R09954 R11770,1.1.1.18        1.1.1.370       1.1.1.371       1.1.1.-,
C00692,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate;,C28H43N5O23P2,879.1824,879.61,map00470  D-Amino acid metabolism,R02783 R02786 R02788 R09596 R12271,5.1.1.23        6.3.2.7         6.3.2.9         6.3.2.13,
C00693,"trans-2,3-Dehydroacyl-[acyl-carrier protein];",C3H2OSR2,,,map00061  Fatty acid biosynthesis,R01403 R01404 R10208 R13038,1.3.1.9         1.3.1.10        1.3.1.39        1.3.1.104,
C00694,beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R;,C14H24NO11R,,,,R02789 R02790 R02791 R03519 R11601,2.4.1.87        2.4.1.149       2.4.1.150       2.4.1.152,
C00695,Cholic acid;,C24H40O5,408.2876,408.57,map00120  Primary bile acid biosynthesis,R02792 R02793 R02794 R02797 R02798 R05835 R07220 R07295,1.1.1.159       1.1.1.176       1.14.14.139     2.8.3.25,
C00696,Prostaglandin D2;,C20H32O5,352.2250,352.46,map00590  Arachidonic acid metabolism,R02266 R02684 R02799 R02800 R02801,1.1.1.188       1.1.1.196       5.3.99.2,
C00697,Nitrogen;,N2,28.0061,28.01,map00910  Nitrogen metabolism,R02802 R02804 R05185 R05186 R07174 R09435 R09436 R09808,1.7.1.14        1.7.2.4         1.7.2.8         1.18.6.1,
C00698,Cl-;,Cl,34.9689,35.45,map04024  cAMP signaling pathway,R01032 R01033 R01307 R02605 R03523 R03982 R04003 R04101,1.3.1.32        1.11.2.2        1.13.11.49      1.14.12.13,
C00700,XTP;,C10H15N4O15P3,523.9747,524.17,map00230  Purine metabolism,R02720 R02805 R12589,3.6.1.17        3.6.1.66        3.6.1.73,
C00701,Base;,,,,,R02806 R03852 R04168,2.4.2.5         2.4.2.6,
C00703,Mercury(2+);,Hg,201.9706,200.59,,R02807 R03529 R09339,1.16.1.1        4.99.1.2,
C00704,Superoxide;,O2,31.9898,32.00,map04066  HIF-1 signaling pathway,R00275 R02670 R05743 R12508,1.10.3.17       1.11.1.6        1.11.1.21       1.15.1.1,
C00705,dCDP;,C9H15N3O10P2,387.0233,387.18,map00240  Pyrimidine metabolism,R01665 R01667 R02024 R02326,1.17.4.1        2.7.4.6         2.7.4.14        2.7.4.25,
C00706,Amine;,NH2R,,,,R02808 R02809 R05167 R13025 R13026,1.5.3.25        2.1.1.49        2.8.2.3         3.5.1.79,
C00707,Xylan,(C5H8O4)n. (C5H7O4R)n,,,map04973  Carbohydrate digestion and absorption,,,
C00708,Iodide;,I,126.9045,126.90,map04918  Thyroid hormone synthesis,R02810 R03734 R07230 R09521 R09522 R09523 R10059 R11414,1.11.1.8        1.21.1.1        1.21.99.3       1.21.99.4,
C00711,Malate;,C4H6O5,134.0215,134.09,,,,
C00712,(9Z)-Octadecenoic acid;,C18H34O2,282.2559,282.46,map00061  Fatty acid biosynthesis,R02813 R02814 R08176 R09452 R09462 R09537 R10576,1.11.2.3        1.13.11.77      1.14.14.80      3.1.2.2,
C00713,Panose,C18H32O16,504.1690,504.44,,,,
C00714,Pectin;,(C26H36O24)n,,,map00040  Pentose and glucuronate interconversions,R02362 R05191,2.4.1.43        3.1.1.11,
C00715,Pterin;,C6H5N5O,163.0494,163.14,,R02815 R02816,1.17.3.1        3.5.4.11,
C00716,Serine;,C3H7NO3,105.0426,105.09,map02030  Bacterial chemotaxis,R00223 R02818,4.3.1.15,
C00717,Alditol;,C2H5O2R,,,,R02819 R02820 R11618,1.1.1.21        1.1.3.41,
C00718,Amylose;,(C6H10O5)n,,,map00500  Starch and sucrose metabolism,R00292 R01821 R01823 R02109 R02110 R02111 R02121 R02421,2.4.1.1         2.4.1.2         2.4.1.4         2.4.1.11,
C00719,Betaine;,C5H11NO2,117.0790,117.15,"map00260  Glycine, serine and threonine metabolism",R02565 R02566 R02821 R07228 R07244 R08211 R08212 R10061,1.1.3.17        1.2.1.8         1.13.11.90      1.14.13.251,
C00720,RBr,BrR,,,,R09505,1.11.1.18,
C00721,Dextrin,(C12H20O10)n,,,map00500  Starch and sucrose metabolism,R01791 R02108 R02112,3.2.1.1         3.2.1.2         3.2.1.3         3.2.1.10,
C00722,Epoxide;,C2H2OR2,,,,R02822 R02823,1.14.13.25      3.3.2.10,
C00723,Insulin,,,,,R02824,1.8.4.2,
C00725,Lipoate;,C8H14O2S2,206.0435,206.33,,,,
C00726,Nitrile;,CNR,,,map00910  Nitrogen metabolism,R00540 R02826 R02827 R02828 R08511 R13121,2.5.1.18        3.5.5.1         3.5.5.2         3.5.5.5,
C00727,Orcinol;,C7H8O2,124.0524,124.14,,R02830 R02831,1.14.13.6       4.1.1.58,
C00729,Tropine;,C8H15NO,141.1154,141.21,"map00960  Tropane, piperidine and pyridine alkaloid biosynthesis",R02832 R03563 R03564 R06735 R08432 R08712,1.1.1.206       2.3.1.185       2.3.1.-         3.1.1.10,
C00732,Ubenimex,C16H24N2O4,308.1736,308.37,,,,
C00734,Chitosan;,C12H24N2O9(C6H11NO4)n,,,map00520  Amino sugar and nucleotide sugar metabolism,R02333 R02833 R08715,3.2.1.132       3.2.1.165       3.5.1.41,
C00735,Cortisol;,C21H30O5,362.2093,362.46,map00140  Steroid hormone biosynthesis,R02834 R02836 R02837 R02838 R02839 R02840 R02841 R02843,1.1.1.145       1.1.1.146       1.1.1.-         1.3.1.3,
C00736,Cysteine;,C3H7NO2S,121.0198,121.16,,R01109 R02818 R02846,1.8.4.4         4.4.1.9,
C00737,D-Aldose;,C6H12O6,180.0634,180.16,,R02847 R04422,1.1.1.121       2.4.1.162,
C00738,D-Hexose;,C6H12O6,180.0634,180.16,,R02848 R02849 R02850 R03148 R03841,2.7.1.1         2.7.1.61        2.7.1.62,
C00739,D-Lysine;,C6H14N2O2,146.1055,146.19,map00310  Lysine degradation,R00460 R02851 R02852 R09596 R12305 R13034,2.6.1.21        4.1.1.116       5.1.1.5         5.1.1.10,
C00740,D-Serine,C3H7NO3,105.0426,105.09,"map00260  Glycine, serine and threonine metabolism",R00221 R00589 R02853 R02854 R09595,3.1.3.3         4.3.1.18        5.1.1.10        5.1.1.18,
C00741,Diacetyl;,C4H6O2,86.0368,86.09,map00650  Butanoate metabolism,R02343 R02855 R02856 R09078 R10506,1.1.1.303       1.1.1.304,
C00742,Fluoride;,F,18.9984,19.00,,R09637,2.5.1.63,
C00744,Macrocin;,C45H75NO17,901.5035,902.07,"map00522  Biosynthesis of 12-, 14- and 16-membered macrolides",R02858 R02859,2.1.1.101       2.1.1.102,
C00745,Nicotine;,C10H14N2,162.1157,162.23,map00760  Nicotinate and nicotinamide metabolism,R02860 R02861 R06738 R11175 R11177,1.4.2.2         1.5.99.4,
C00746,Oxytocin;,C43H66N12O12S2,1006.4365,1007.19,,,,
C00747,Pyridine;,C5H5N,79.0422,79.10,,R02862 R02863,2.1.1.87        2.5.1.2,
C00748,Siroheme,C42H44FeN4O16,916.2102,916.66,map00860  Porphyrin metabolism,R02864 R12000,4.1.1.111       4.99.1.4,
C00750,Spermine;,C10H26N4,202.2157,202.34,map00330  Arginine and proline metabolism,R02869 R08352 R09076,1.5.3.16        1.5.3.17        2.5.1.22        6.3.1.9,
C00751,Squalene;,C30H50,410.3913,410.72,map00100  Steroid biosynthesis,R02872 R02874 R02875 R02876 R06223 R07322 R07323 R08535,1.3.1.96        1.14.14.17      1.14.19.-       1.17.8.1,
C00752,Thrombin;,,,,map04610  Complement and coagulation cascades,,,
C00753,Tungsten,W,183.9509,183.84,,,,
C00755,4-Hydroxy-3-methoxy-benzaldehyde;,C8H8O3,152.0473,152.15,map00627  Aminobenzoate degradation,R00043 R02877 R05273 R05699 R05773 R11503 R12302 R12566,1.1.3.38        1.2.1.67        1.2.3.9         1.11.1.16,
C00756,1-Octanol;,C8H18O,130.1358,130.23,,R02878 R02879,1.1.1.1         1.1.1.73        1.14.15.3,
C00757,Berberine;,C20H18NO4,336.1236,336.36,map00950  Isoquinoline alkaloid biosynthesis,R00044 R02880 R07169,1.3.3.8         1.5.1.31        1.21.3.2,
C00758,Bergaptol;,C11H6O4,202.0266,202.16,map00999  Biosynthesis of various plant secondary metabolites,R02882 R08998 R12881 R12888,1.14.13.-       2.1.1.69        2.5.1.-,
C00759,Caldesmon,,,,,R02884 R02885,2.7.11.17       3.1.3.55,
C00760,Cellulose;,(C6H10O5)n,,,map00500  Starch and sucrose metabolism,R02886 R02888 R02889 R02890 R11307 R11745 R11747,1.14.99.54      1.14.99.56      2.4.1.12        2.4.1.29,
C00761,Coniferin,C16H22O8,342.1315,342.34,map00940  Phenylpropanoid biosynthesis,R02594 R02595,2.4.1.111       3.2.1.126,
C00762,Cortisone;,C21H28O5,360.1937,360.44,map00140  Steroid hormone biosynthesis,R02834 R02836 R02892 R02893,1.1.1.146       1.1.1.-         1.3.1.3         1.3.1.22,
C00763,D-Proline,C5H9NO2,115.0633,115.13,map00330  Arginine and proline metabolism,R01255 R02825 R02894 R02895 R09496,1.4.1.12        1.4.3.3         1.5.99.13       1.21.4.1,
C00764,D-Sorbose;,C6H12O6,180.0634,180.16,,R02896 R10818,1.1.1.15        5.1.3.31,
C00765,Digitonin,C56H92O29,1228.5724,1229.31,,,,
C00766,Flavanone;,C15H12O2,224.0837,224.25,map01060  Biosynthesis of plant secondary metabolites,R02898 R07333 R07344 R07367 R07369 R10069 R12218 R12276,1.14.14.81      1.14.14.162     1.14.19.76      1.14.20.5,
C00768,Histidine;,C6H9N3O2,155.0695,155.15,,,,
C00770,L-Idonate,C6H12O7,196.0583,196.16,,R05683 R05684 R08880,1.1.1.215       1.1.1.264       1.1.1.366,
C00771,Laminarin;,C12H22O11(C6H10O5)n,,,,,,
C00772,Mevaldate;,C6H10O4,146.0579,146.14,,R02246 R02247,1.1.1.1         1.1.1.2,
C00773,Pepstatin,C34H63N5O9,685.4626,685.89,,,,
C00774,Phloretin;,C15H14O5,274.0841,274.27,map00941  Flavonoid biosynthesis,R02901 R12088 R12117 R13073,2.3.1.74        2.4.1.357       3.7.1.4,
C00775,Porphyran,,,,,,,
C00777,Retinoate;,C20H28O2,300.2089,300.43,map00830  Retinol metabolism,R02123 R02125 R02902 R08390 R08391 R08392,1.2.1.36        1.2.3.1         1.14.14.1       1.14.14.-,
C00778,Rhodopsin;,C20H28R,,,map00830  Retinol metabolism,R02903 R02904 R02905,2.7.11.14,
C00779,Scytalone;,C10H10O4,194.0579,194.18,,R02906 R02907,1.1.1.252       4.2.1.94,
C00780,Serotonin;,C10H12N2O,176.0950,176.21,map00380  Tryptophan metabolism,R02701 R02908 R02909 R02910 R02911 R02912 R12659,1.4.3.4         1.13.11.52      1.14.14.186     2.1.1.49,
C00783,Tropinone;,C8H13NO,139.0997,139.19,"map00960  Tropane, piperidine and pyridine alkaloid biosynthesis",R02832 R06733 R06734 R08431,1.1.1.206       1.1.1.236,
C00785,Urocanate;,C6H6N2O2,138.0429,138.12,map00340  Histidine metabolism,R01168 R02914 R10330,1.3.99.33       4.2.1.49        4.3.1.3,
C00786,(-)-Vestitone;,C16H14O5,286.0841,286.28,map00943  Isoflavonoid biosynthesis,R02915 R06562 R06565 R07737,1.1.1.348       1.3.1.45,
C00787,tRNA(Tyr),,,,,R02918 R10335,2.3.2.21        6.1.1.1,
C00788,L-Adrenaline;,C9H13NO3,183.0895,183.20,map00350  Tyrosine metabolism,R02533 R02919 R02920,1.4.3.4         2.1.1.6         2.1.1.28,
C00789,CDP-ribitol;,C14H25N3O15P2,537.0761,537.31,map00040  Pentose and glucuronate interconversions,R02921 R11613 R11614 R11621 R12294 R12295 R12818 R12864,2.7.7.40        2.7.8.14        2.7.8.46        2.7.8.47,
C00791,Creatinine;,C4H7N3O,113.0589,113.12,map00330  Arginine and proline metabolism,R01884 R02922 R07420,3.5.2.10        3.5.4.21,
C00792,D-Arginine;,C6H14N4O2,174.1117,174.20,map00470  D-Amino acid metabolism,R00567 R02458 R02923 R02924 R11016 R11018,1.4.3.3         1.4.99.6        2.6.1.21        3.5.3.10,
C00793,D-Cysteine;,C3H7NO2S,121.0198,121.16,map00270  Cysteine and methionine metabolism,R00903 R01874,4.4.1.15        5.1.1.10,
C00794,D-Sorbitol;,C6H14O6,182.0790,182.17,map00051  Fructose and mannose metabolism,R00874 R00875 R01697 R01787 R02865 R02866 R02867 R02868,1.1.1.14        1.1.1.15        1.1.1.21        1.1.1.289,
C00795,D-Tagatose;,C6H12O6,180.0634,180.16,map00052  Galactose metabolism,R02927 R02928 R10818 R11638,1.1.1.16        1.1.1.407       2.7.1.101       5.1.3.31,
C00796,Dicumarol;,C19H12O6,336.0634,336.29,,,,
C00797,Ethylamine,C2H7N,45.0578,45.08,,R02929 R02930 R05559 R05573 R05863,1.4.3.19        3.5.1.65        3.5.4.43        3.5.4.-,
C00798,Formyl-CoA,C22H36N7O17P3S,795.1101,795.55,map00630  Glyoxylate and dicarboxylate metabolism,R00521 R01908 R07290 R12799 R12800,2.8.3.16        3.1.2.10        4.1.1.8         4.1.2.63,
C00799,Isoflavone,C15H10O2,222.0681,222.24,,R07332 R07371,1.14.14.90      2.4.1.170,
C00800,L-Gulonate;,C6H12O7,196.0583,196.16,map00040  Pentose and glucuronate interconversions,R01481 R02640 R02933 R10848,1.1.1.2         1.1.1.19        1.1.1.45        1.1.1.380,
C00801,Nucleoside,C5H9O4R,,,,R02934 R05304 R07341,2.7.1.77,
C00802,Oxalureate;,C3H4N2O4,132.0171,132.07,map00230  Purine metabolism,R02935 R02936 R02937 R10908,1.1.1.154       1.1.1.350       2.1.3.5         2.6.1.112,
